episode_id,market,strategyName,strategyVersion,startAt,startAt_kst,lastAt,lastAt_kst,entryPrice,stopLossPrice,targetPrice,targetPct,stopPct,initialScore,maxScore,rows,eventTypes,maxMfePercent,minMaePercent,firstTargetAt_kst,firstStopAt_kst,outcome,pnlPct_rule,lastEvent,lastCurrentPrice,reason,score_bin,start_dt,timeToTargetMin,timeToStopMin
155,KRW-IP,Volume Accumulation,v1,1778459672129,2026-05-11 09:34:32.129000+09:00,1778481297019,2026-05-11 15:34:57.019000+09:00,880.0,871.2,893.1999999999999,1.4999999999999902,-0.9999999999999898,35.122856174377205,35.122856174377205,4,STRATEGY_CHANGED|INITIAL_SIGNAL|EXPIRED,0.0,-2.6136363636363638,,2026-05-11 15:34:57.019000+09:00,STOP_FIRST,-0.9999999999999898,EXPIRED,857.0,Stable price with high liquidity,"[32, 36)",2026-05-11 09:34:32.129000+09:00,,360.4148333333333
6292,KRW-IRYS,Momentum Breakout,v1,1778850129226,2026-05-15 22:02:09.226000+09:00,1778856055153,2026-05-15 23:40:55.153000+09:00,114.0,112.29,116.28,2.0000000000000018,-1.4999999999999902,48.98054400079748,48.98054400079748,12,STRATEGY_CHANGED|INITIAL_SIGNAL|PRICE_MOVED_5_PERCENT,0.0,-6.140350877192982,,2026-05-15 22:29:19.141000+09:00,STOP_FIRST,-1.4999999999999902,STRATEGY_CHANGED,107.0,Positive trend with strong 24h trading value,"[44, 100)",2026-05-15 22:02:09.226000+09:00,,27.16525
50,KRW-JTO,Volume Accumulation,v1,1778457652815,2026-05-11 09:00:52.815000+09:00,1778479281611,2026-05-11 15:01:21.611000+09:00,749.0,741.51,760.2349999999999,1.4999999999999902,-1.0000000000000009,35.506002887155944,35.73809489380235,12,STRATEGY_CHANGED|INITIAL_SIGNAL|EXPIRED,2.53671562082777,-0.1335113484646194,2026-05-11 15:01:21.611000+09:00,,TARGET_FIRST,1.4999999999999902,EXPIRED,768.0,Stable price with high liquidity,"[32, 36)",2026-05-11 09:00:52.815000+09:00,360.4799333333333,
2765,KRW-JTO,Volume Accumulation,v1,1778682885442,2026-05-13 23:34:45.442000+09:00,1778815067462,2026-05-15 12:17:47.462000+09:00,734.0,726.66,745.0099999999999,1.4999999999999902,-1.0000000000000009,36.67178149472081,37.17261504092556,57,STRATEGY_CHANGED|PRICE_MOVED_5_PERCENT|INITIAL_SIGNAL,5.858310626702997,-2.588555858310627,2026-05-14 09:00:52.404000+09:00,2026-05-14 00:50:01.902000+09:00,STOP_FIRST,-1.0000000000000009,STRATEGY_CHANGED,762.0,Stable price with high liquidity,"[36, 40)",2026-05-13 23:34:45.442000+09:00,566.1160333333333,75.27433333333333
5738,KRW-KAVA,Rebound Watch,v1,1778817213798,2026-05-15 12:53:33.798000+09:00,1778817213798,2026-05-15 12:53:33.798000+09:00,92.3,90.454,93.9614,1.8000000000000016,-2.0000000000000018,33.6397076864714,33.6397076864714,1,INITIAL_SIGNAL,0.0,0.0,,,NO_HIT,0.0,INITIAL_SIGNAL,92.3,Pullback with active trading volume,"[32, 36)",2026-05-15 12:53:33.798000+09:00,,
573,KRW-KITE,Momentum Breakout,v1,1778484346854,2026-05-11 16:25:46.854000+09:00,1778853185021,2026-05-15 22:53:05.021000+09:00,274.0,269.89,279.48,2.0000000000000018,-1.5000000000000013,40.66574594612153,48.214213123736,125,PRICE_MOVED_5_PERCENT|STRATEGY_CHANGED|INITIAL_SIGNAL,24.45255474452555,-2.554744525547445,2026-05-11 17:14:55.218000+09:00,2026-05-11 19:19:55.405000+09:00,TARGET_FIRST,2.0000000000000018,STRATEGY_CHANGED,328.0,Positive trend with strong 24h trading value,"[40, 44)",2026-05-11 16:25:46.854000+09:00,49.1394,174.14251666666667
23,KRW-LAYER,Rebound Watch,v1,1778457620642,2026-05-11 09:00:20.642000+09:00,1778479250400,2026-05-11 15:00:50.400000+09:00,182.0,178.36,185.276,1.8000000000000016,-1.9999999999999907,39.42568862533737,39.42568862533737,3,INITIAL_SIGNAL|STRATEGY_CHANGED|EXPIRED,2.7472527472527477,-1.098901098901099,2026-05-11 15:00:50.400000+09:00,,TARGET_FIRST,1.8000000000000016,EXPIRED,187.0,Pullback with active trading volume,"[36, 40)",2026-05-11 09:00:20.642000+09:00,360.4959666666667,
495,KRW-LAYER,Volume Accumulation,v1,1778479281611,2026-05-11 15:01:21.611000+09:00,1778642824073,2026-05-13 12:27:04.073000+09:00,186.0,184.14,188.79,1.4999999999999902,-1.000000000000012,40.798776000133664,40.798776000133664,47,STRATEGY_CHANGED|PRICE_MOVED_5_PERCENT|INITIAL_SIGNAL,0.0,-13.978494623655912,,2026-05-11 15:54:10.259000+09:00,STOP_FIRST,-1.000000000000012,STRATEGY_CHANGED,160.0,Stable price with high liquidity,"[40, 44)",2026-05-11 15:01:21.611000+09:00,,52.8108
2896,KRW-LINK,Rebound Watch,v1,1778691140954,2026-05-14 01:52:20.954000+09:00,1778814406348,2026-05-15 12:06:46.348000+09:00,15150.0,14847.0,15422.7,1.8000000000000016,-2.0000000000000018,31.16889378205621,31.711140611173647,18,STRATEGY_CHANGED|INITIAL_SIGNAL,2.178217821782178,0.0,2026-05-15 09:02:55.722000+09:00,,TARGET_FIRST,1.8000000000000016,STRATEGY_CHANGED,15480.0,Pullback with active trading volume,"[0, 32)",2026-05-14 01:52:20.954000+09:00,1870.5794666666666,
2291,KRW-MANTRA,Rebound Watch,v1,1778635271930,2026-05-13 10:21:11.930000+09:00,1778648583067,2026-05-13 14:03:03.067000+09:00,16.8,16.464,17.1024,1.8000000000000016,-2.000000000000013,35.66600561749466,36.17159752604294,6,STRATEGY_CHANGED|INITIAL_SIGNAL,0.5952380952380826,0.0,,,NO_HIT,0.5952380952380931,STRATEGY_CHANGED,16.9,Pullback with active trading volume,"[32, 36)",2026-05-13 10:21:11.930000+09:00,,
