target,stop,horizon,n,avg,median,win_rate,target_rate,stop_rate,time_rate,profit_factor
2.0,-1.0,360,103,0.031332935443783565,0.0,24.271844660194176,8.737864077669903,14.563106796116504,76.69902912621359,1.1567191963868988
1.5,-0.8,180,103,0.0303568227152121,0.0,21.35922330097087,8.737864077669903,12.62135922330097,78.64077669902912,1.220358620816238
1.5,-0.8,360,103,0.03021142942873554,0.0,25.24271844660194,9.70873786407767,16.50485436893204,73.7864077669903,1.1757237369062485
2.0,-1.0,60,103,0.028919527830377736,0.0,16.50485436893204,4.854368932038835,8.737864077669903,86.40776699029125,1.2473310929123738
1.5,-0.8,60,103,0.023308157273388353,0.0,16.50485436893204,5.825242718446602,9.70873786407767,84.46601941747572,1.238668556345776
2.0,-1.5,180,103,0.02162573754389687,0.0,21.35922330097087,8.737864077669903,7.766990291262135,83.49514563106796,1.113711107159876
2.5,-1.2,60,103,0.02115659924207221,0.0,16.50485436893204,2.912621359223301,6.796116504854369,90.29126213592234,1.16002319754619
3.0,-2.5,180,103,0.02075004200112596,0.0,21.35922330097087,4.854368932038835,3.8834951456310676,91.2621359223301,1.0841619407022118
1.8,-1.0,60,103,0.01921078996630007,0.0,16.50485436893204,4.854368932038835,8.737864077669903,86.40776699029125,1.16429817616469
1.8,-1.0,180,103,0.017491464884725937,0.0,20.388349514563107,7.766990291262135,10.679611650485436,81.55339805825243,1.1097577944185486
3.0,-1.5,60,103,0.01699248609173184,0.0,16.50485436893204,2.912621359223301,5.825242718446602,91.2621359223301,1.1125801424605752
1.5,-1.0,180,103,0.016338552263366616,0.0,21.35922330097087,8.737864077669903,10.679611650485436,80.58252427184466,1.1076468006725935
1.2,-0.8,180,103,0.015793715919095584,0.0,22.330097087378643,9.70873786407767,12.62135922330097,77.66990291262135,1.1146457746960243
2.5,-2.0,180,103,0.015656447271056098,0.0,21.35922330097087,5.825242718446602,4.854368932038835,89.32038834951457,1.06939557065051
2.0,-1.2,180,103,0.013858747252634725,0.0,20.388349514563107,7.766990291262135,8.737864077669903,83.49514563106796,1.0776265964596434
1.8,-1.0,360,103,0.01385720728844375,0.0,24.271844660194176,8.737864077669903,14.563106796116504,76.69902912621359,1.0693101479211213
2.0,-1.2,60,103,0.013636324761393315,0.0,16.50485436893204,4.854368932038835,6.796116504854369,88.3495145631068,1.1031417320963877
2.5,-1.5,360,103,0.01311506609361108,0.0,24.271844660194176,6.796116504854369,11.650485436893204,81.55339805825243,1.051738003093454
1.2,-0.8,60,103,0.012807759885241349,0.0,16.50485436893204,6.796116504854369,9.70873786407767,83.49514563106796,1.131147628960096
1.2,-0.8,360,103,0.012735701273395735,0.0,26.21359223300971,10.679611650485436,16.50485436893204,72.81553398058253,1.0740767670447968
2.5,-1.2,360,103,0.012144192307203306,0.0,23.300970873786408,5.825242718446602,12.62135922330097,81.55339805825243,1.052757477930073
3.0,-2.0,360,103,0.011711047222996396,0.0,24.271844660194176,5.825242718446602,7.766990291262135,86.40776699029125,1.0406323545389973
1.5,-1.0,360,103,0.009791673307861124,0.0,25.24271844660194,9.70873786407767,14.563106796116504,75.72815533980582,1.0509067001083368
3.0,-0.8,720,103,0.007907492543042686,0.0,25.24271844660194,6.796116504854369,38.83495145631068,54.36893203883495,1.021486676322655
2.0,-1.2,360,103,0.004399246937905941,0.0,24.271844660194176,8.737864077669903,12.62135922330097,78.64077669902912,1.0193915506588465
1.8,-1.5,180,103,0.004150009388557057,0.0,21.35922330097087,8.737864077669903,7.766990291262135,83.49514563106796,1.02182132106888
1.5,-1.0,60,103,0.004040887053678707,0.0,16.50485436893204,5.825242718446602,8.737864077669903,85.43689320388349,1.0345592437464346
1.8,-1.2,60,103,0.003927586897315649,0.0,16.50485436893204,4.854368932038835,6.796116504854369,88.3495145631068,1.0297072798306415
2.5,-1.5,60,103,0.002429379295615334,0.0,16.50485436893204,2.912621359223301,5.825242718446602,91.2621359223301,1.0160953415359406
1.2,-1.0,180,103,0.001775445467250104,0.0,22.330097087378643,9.70873786407767,10.679611650485436,79.6116504854369,1.0116975495280969
2.0,-1.5,360,103,0.0005157517922748715,0.0,25.24271844660194,9.70873786407767,11.650485436893204,78.64077669902912,1.0020616457920584
1.5,-1.5,180,103,8.447540797442957e-05,0.0,22.330097087378643,9.70873786407767,7.766990291262135,82.52427184466019,1.0004626344526095
1.0,-0.8,60,103,-0.0007844731244673853,0.0,16.50485436893204,6.796116504854369,9.70873786407767,83.49514563106796,0.9919672299310225
1.8,-1.2,180,103,-0.001675233329889546,0.0,20.388349514563107,7.766990291262135,8.737864077669903,83.49514563106796,0.9906165644481064
1.5,-1.2,180,103,-0.0028281459512488763,0.0,21.35922330097087,8.737864077669903,8.737864077669903,82.52427184466019,0.9834559067585072
1.0,-0.8,180,103,-0.003623759809059748,0.0,22.330097087378643,9.70873786407767,12.62135922330097,77.66990291262135,0.9736953132024064
2.0,-1.5,60,103,-0.005090895185063561,0.0,16.50485436893204,4.854368932038835,5.825242718446602,89.32038834951457,0.9662713447524793
2.5,-2.5,180,103,-0.005280926716970802,0.0,21.35922330097087,5.825242718446602,3.8834951456310676,90.29126213592234,0.978580619683454
1.2,-1.0,60,103,-0.006459510334468291,0.0,16.50485436893204,6.796116504854369,8.737864077669903,84.46601941747572,0.9447557456652314
1.2,-1.0,360,103,-0.007684054847478686,0.0,26.21359223300971,10.679611650485436,14.563106796116504,74.75728155339806,0.9600507631905404
1.0,-0.8,360,103,-0.008623522027575133,0.0,26.21359223300971,10.679611650485436,16.50485436893204,72.81553398058253,0.949841581658578
3.0,-2.0,60,103,-0.008788561197377606,0.0,16.50485436893204,2.912621359223301,3.8834951456310676,93.20388349514563,0.9502678337873978
1.5,-1.2,60,103,-0.011242316015305714,0.0,16.50485436893204,5.825242718446602,6.796116504854369,87.37864077669903,0.9149659481654129
1.8,-1.2,360,103,-0.01307648121743387,0.0,24.271844660194176,8.737864077669903,12.62135922330097,78.64077669902912,0.9423598512321691
2.0,-2.0,180,103,-0.013804484800308174,0.0,21.35922330097087,8.737864077669903,4.854368932038835,86.40776699029125,0.93881305997021
0.8,-0.8,60,103,-0.01437670613417612,0.0,16.50485436893204,6.796116504854369,9.70873786407767,83.49514563106796,0.8527868309019491
1.8,-1.5,60,103,-0.014799633049141236,0.0,16.50485436893204,4.854368932038835,5.825242718446602,89.32038834951457,0.9019481441360563
1.5,-1.2,360,103,-0.017142015198016496,0.0,25.24271844660194,9.70873786407767,12.62135922330097,77.66990291262135,0.921825607661787
1.2,-1.5,180,103,-0.017391252747365384,0.0,23.300970873786408,10.679611650485436,7.766990291262135,81.55339805825243,0.9047557994936334
1.2,-1.2,180,103,-0.017391252747365384,0.0,22.330097087378643,9.70873786407767,8.737864077669903,81.55339805825243,0.898264618588116
1.0,-1.0,180,103,-0.01764203026090523,0.0,22.330097087378643,9.70873786407767,10.679611650485436,79.6116504854369,0.8837652146687682
1.8,-1.5,360,103,-0.018901723935880473,0.0,25.24271844660194,9.70873786407767,11.650485436893204,78.64077669902912,0.9244429971960434
1.0,-1.0,60,103,-0.020051743344177028,0.0,16.50485436893204,6.796116504854369,8.737864077669903,84.46601941747572,0.8285096622184743
2.5,-2.0,360,103,-0.021614693744460803,0.0,24.271844660194176,6.796116504854369,7.766990291262135,85.43689320388349,0.9250062028823353
1.2,-1.2,60,103,-0.021742713403452713,0.0,16.50485436893204,6.796116504854369,6.796116504854369,86.40776699029125,0.8355435822959744
0.8,-0.8,180,103,-0.023135571451683927,0.0,22.330097087378643,10.679611650485436,12.62135922330097,76.69902912621359,0.8320600721387786
2.5,-2.0,60,103,-0.023351667993494113,0.0,16.50485436893204,2.912621359223301,3.8834951456310676,93.20388349514563,0.8678590263056394
